9.99993019625648E-4	lizards
9.99914094925924E-4	calculator
9.996312131706996E-4	yummy
9.994647995224554E-4	million
9.992073263861074E-4	innovativei
9.98937426267592E-4	lively
9.98924233605803E-4	saidwhatever
9.989106563547954E-4	inconsistent
9.988409848261885E-4	collagethank
9.984714329409174E-4	arenbsp
9.98407733778865E-4	surround
9.983927561510995E-4	skydiving
9.97938997459184E-4	forced
9.978675940145133E-4	characters
9.978373759597019E-4	tinkering
9.978042431005729E-5	made
9.977988134895943E-4	campaign
9.97713949815274E-4	sunrisesunset
9.976741145168119E-4	househome
9.976637926363727E-4	thin
9.974816080069871E-4	blink
9.974184435362734E-4	picasa
9.969994581216601E-4	competitionnational
9.969917890770473E-5	countriessome
9.969917890770472E-4	gauvain
9.969655586379487E-4	learningfailing
9.96947183790811E-4	brainwaves
9.967730272664257E-4	phillips
9.967216282027343E-4	entry
9.966880631383259E-4	separate
9.965072442074353E-4	cafewe
9.962679322750062E-4	september
9.96233649699531E-4	groupsin
9.960859517619454E-4	heartfelt
9.958410424064207E-4	technologize
9.95340373898059E-4	timerhythm
9.94776251767987E-4	niven
9.942563931781131E-4	employment
9.93668483113457E-4	rosenbergs
9.936321150733763E-4	exchanges
9.93464450599831E-4	vowel
9.93175429650983E-4	hekkacool
9.930066332793062E-4	lessonplease
9.929444870916003E-4	trophies
9.92741719941548E-4	engrossed
9.924142158487415E-4	glimpse
9.921504201172114E-4	judiciously
9.919199275683379E-4	refined
9.918397629699299E-4	pho
9.917134640752459E-4	striving
9.915423714362535E-4	utahs
9.915005364330583E-4	constructing
9.914354605579279E-4	corresponding
9.912303002469298E-4	aids
9.909904982141917E-4	grahn
9.909806234428083E-4	expert
9.907705686670804E-4	receieved
9.90545577471039E-4	update
9.902303587903517E-4	growthank
9.89565344837381E-4	bittybottoms
9.895653448373812E-5	nondisable
9.895060223511771E-4	kanemaki
9.894723431708406E-4	chapin
9.892374084953367E-4	saddles
9.891733100829269E-4	punctuation
9.891308587665305E-4	fablesfolktales
